2341895, 20
2341894, 20
1667728, 15
CN14487, 20
CN18454, 15
CN18452, 30
2334075, 15
1688077, 15
2467852, 15
2101347, 15
2506959, 15
1357989, 30
9330801, 60
9330607, 40
9331247, 90
9330399, 60
1358089, 30
9331360, 30
9330402, 110
2218840, 40
1758955, 30
1758969, 30
2456099, 30
8819734, 50
1828868, 210
2320803, 130
8819718, 30
2496916, 130
2496930, 30
2494232, 30
2496905, 70
1762617, 30
1515746, 90
1437637, 30
2103885, 15
2103887, 15
1855553, 15
SC11302, 15
1972664, 45
1291538, 15
2061522, 30
1734973, 15
1568026, 15
1630205, 15
1652477, 15
2496524, 15
1909295, 5
2471831, 5
2496887, 10
2496900, 10
2496881, 10
2494216, 10
2496826, 10
2496865, 50
2496848, 10
9330429, 10
9527958, 10
CN14492, 10
